=== qlab round 5 (prefix qlab_r5, seed 1234) ===
--- trajectory txts into the 720p tree ---
--- download (cached after round 1) ---
[90mHint: The `hf-cli` skill is not installed. Run `hf skills add -g --claude` to teach your AI agents how to use the `hf` CLI.[0m
Fetching 32 files:   0%|          | 0/32 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 32 files:  25%|██▌       | 8/32 [00:00<00:00, 75.63it/s]Fetching 32 files:  25%|██▌       | 8/32 [00:20<00:00, 75.63it/s]Fetching 32 files:  28%|██▊       | 9/32 [02:22<08:18, 21.65s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:27<06:48, 18.56s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:40<06:48, 18.56s/it]Fetching 32 files:  34%|███▍      | 11/32 [02:54<07:05, 20.27s/it]Fetching 32 files:  38%|███▊      | 12/32 [03:29<07:53, 23.67s/it]Fetching 32 files:  41%|████      | 13/32 [04:17<09:21, 29.54s/it]Fetching 32 files:  44%|████▍     | 14/32 [04:23<07:02, 23.46s/it]Fetching 32 files:  47%|████▋     | 15/32 [04:40<06:38, 23.46s/it]Fetching 32 files:  50%|█████     | 16/32 [04:41<04:37, 17.33s/it]Fetching 32 files:  53%|█████▎    | 17/32 [04:48<03:44, 14.97s/it]Fetching 32 files:  53%|█████▎    | 17/32 [05:00<03:44, 14.97s/it]Fetching 32 files:  56%|█████▋    | 18/32 [05:14<04:07, 17.65s/it]Fetching 32 files:  59%|█████▉    | 19/32 [06:38<07:36, 35.15s/it]Fetching 32 files:  66%|██████▌   | 21/32 [06:38<03:41, 20.12s/it]Fetching 32 files:  72%|███████▏  | 23/32 [06:39<01:54, 12.68s/it]Fetching 32 files:  78%|███████▊  | 25/32 [06:40<00:58,  8.31s/it]Fetching 32 files:  81%|████████▏ | 26/32 [06:57<01:00, 10.12s/it]Fetching 32 files:  88%|████████▊ | 28/32 [07:03<00:29,  7.42s/it]Fetching 32 files:  91%|█████████ | 29/32 [07:14<00:24,  8.22s/it]Fetching 32 files:  94%|█████████▍| 30/32 [07:24<00:17,  8.64s/it]Fetching 32 files:  97%|█████████▋| 31/32 [07:25<00:06,  6.84s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00,  5.28s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00, 13.96s/it]
--- serve ---
server ready
--- group d (verdict): P0,L2 ---
=== P0: baseline control (verbatim released prompt) ===
  [P0 33] prompt_2_v15.mp4: Anomaly (ok)
  [P0 34] prompt_2_v16.mp4: Anomaly (ok)
  [P0 35] prompt_2_v17.mp4: Anomaly (ok)
  [P0 36] prompt_2_v19.mp4: Anomaly (ok)
  [P0 37] prompt_2_v20.mp4: Anomaly (ok)
  [P0 38] prompt_3_v02.mp4: Normal (X)
  [P0 39] prompt_3_v03.mp4: Normal (X)
  [P0 40] prompt_3_v05.mp4: Normal (X)
  [P0 41] prompt_3_v06.mp4: Normal (X)
  [P0 42] prompt_3_v07.mp4: Normal (X)
  [P0 43] prompt_3_v09.mp4: Normal (X)
  [P0 44] prompt_3_v11.mp4: Normal (X)
  [P0 45] prompt_3_v12.mp4: Normal (X)
  [P0 46] prompt_3_v13.mp4: Normal (X)
  [P0 47] prompt_3_v14.mp4: Normal (X)
  [P0 48] prompt_3_v15.mp4: Normal (X)
  [P0 49] prompt_3_v16.mp4: Normal (X)
  [P0 50] prompt_3_v17.mp4: Normal (X)
  [P0 51] prompt_3_v19.mp4: Anomaly (ok)
  [P0 52] prompt_4_v01.mp4: Anomaly (ok)
  [P0 53] prompt_4_v02.mp4: Anomaly (ok)
  [P0 54] prompt_4_v03.mp4: Anomaly (ok)
  [P0 55] prompt_4_v04.mp4: Anomaly (ok)
  [P0 56] prompt_4_v05.mp4: Anomaly (ok)
  [P0 57] prompt_4_v06.mp4: Anomaly (ok)
  [P0 58] prompt_4_v07.mp4: Anomaly (ok)
  [P0 59] prompt_4_v09.mp4: Anomaly (ok)
  [P0 60] prompt_4_v10.mp4: Anomaly (ok)
  [P0 61] prompt_4_v12.mp4: Anomaly (ok)
  [P0 62] prompt_4_v13.mp4: Anomaly (ok)
  [P0 63] prompt_4_v14.mp4: Anomaly (ok)
  [P0 64] prompt_4_v15.mp4: Anomaly (ok)
  [P0 65] prompt_4_v16.mp4: Anomaly (ok)
  [P0 66] prompt_4_v17.mp4: Anomaly (ok)
  [P0 67] prompt_4_v20.mp4: Anomaly (ok)
  [P0 68] prompt_5_v01.mp4: Anomaly (ok)
  [P0 69] prompt_5_v02.mp4: Anomaly (ok)
  [P0 70] prompt_5_v03.mp4: Anomaly (ok)
  [P0 71] prompt_5_v04.mp4: Anomaly (ok)
  [P0 72] prompt_5_v05.mp4: Anomaly (ok)
  [P0 73] prompt_5_v06.mp4: Anomaly (ok)
  [P0 74] prompt_5_v07.mp4: Normal (X)
  [P0 75] prompt_5_v09.mp4: Anomaly (ok)
  [P0 76] prompt_5_v10.mp4: Anomaly (ok)
  [P0 77] prompt_5_v12.mp4: Anomaly (ok)
  [P0 78] prompt_5_v13.mp4: Anomaly (ok)
  [P0 79] prompt_5_v14.mp4: Anomaly (ok)
  [P0 80] prompt_5_v15.mp4: Anomaly (ok)
  [P0 81] prompt_5_v16.mp4: Anomaly (ok)
  [P0 82] prompt_5_v17.mp4: Normal (X)
  [P0 83] prompt_8_v02.mp4: Anomaly (ok)
  [P0 84] prompt_8_v03.mp4: Anomaly (ok)
  [P0 85] prompt_8_v06.mp4: Anomaly (ok)
  [P0 86] prompt_8_v08.mp4: Anomaly (ok)
  [P0 87] prompt_8_v12.mp4: Anomaly (ok)
  [P0 88] prompt_8_v18.mp4: Anomaly (ok)
  [P0 89] prompt_8_v20.mp4: Anomaly (ok)
  [P0 90] prompt_9_v01.mp4: Anomaly (ok)
  [P0 91] prompt_9_v02.mp4: Anomaly (ok)
  [P0 92] prompt_9_v03.mp4: Anomaly (ok)
  [P0 93] prompt_9_v05.mp4: Anomaly (ok)
  [P0 94] prompt_9_v06.mp4: Anomaly (ok)
  [P0 95] prompt_9_v07.mp4: Anomaly (ok)
  [P0 96] prompt_9_v08.mp4: Anomaly (ok)
  [P0 97] prompt_9_v09.mp4: Anomaly (ok)
  [P0 98] prompt_9_v10.mp4: Anomaly (ok)
  [P0 99] prompt_9_v11.mp4: Anomaly (ok)
  [P0 100] prompt_9_v13.mp4: Anomaly (ok)
  [P0 101] prompt_9_v14.mp4: Anomaly (ok)
  [P0 102] prompt_9_v15.mp4: Anomaly (ok)
  [P0 103] prompt_9_v17.mp4: Anomaly (ok)
  [P0 104] prompt_9_v18.mp4: Anomaly (ok)
  [P0 105] prompt_9_v19.mp4: Anomaly (ok)
  [P0 106] prompt_9_v20.mp4: Anomaly (ok)
  [P0 107] prompt_0.mp4: Normal (ok)
  [P0 108] prompt_11.mp4: Normal (ok)
  [P0 109] prompt_4.mp4: Anomaly (X)
  [P0 110] prompt_5.mp4: Anomaly (X)
  [P0 111] prompt_6.mp4: Normal (ok)
  [P0 112] prompt_8.mp4: Anomaly (X)
  [P0 113] prompt_0_v01.mp4: Normal (ok)
  [P0 114] prompt_0_v02.mp4: Normal (ok)
  [P0 115] prompt_0_v04.mp4: Normal (ok)
  [P0 116] prompt_0_v07.mp4: Normal (ok)
  [P0 117] prompt_0_v08.mp4: Normal (ok)
  [P0 118] prompt_0_v09.mp4: Normal (ok)
  [P0 119] prompt_0_v10.mp4: Normal (ok)
  [P0 120] prompt_0_v11.mp4: Normal (ok)
  [P0 121] prompt_0_v12.mp4: Normal (ok)
  [P0 122] prompt_0_v13.mp4: Normal (ok)
  [P0 123] prompt_0_v14.mp4: Normal (ok)
  [P0 124] prompt_0_v15.mp4: Normal (ok)
  [P0 125] prompt_0_v16.mp4: Normal (ok)
  [P0 126] prompt_0_v17.mp4: Normal (ok)
  [P0 127] prompt_0_v19.mp4: Normal (ok)
  [P0 128] prompt_0_v20.mp4: Normal (ok)
  [P0 129] prompt_11_v02.mp4: Normal (ok)
  [P0 130] prompt_11_v03.mp4: Normal (ok)
  [P0 131] prompt_11_v04.mp4: Normal (ok)
  [P0 132] prompt_11_v06.mp4: Anomaly (X)
  [P0 133] prompt_11_v07.mp4: Normal (ok)
  [P0 134] prompt_11_v11.mp4: Normal (ok)
  [P0 135] prompt_11_v12.mp4: Anomaly (X)
  [P0 136] prompt_11_v13.mp4: Normal (ok)
  [P0 137] prompt_11_v14.mp4: Normal (ok)
  [P0 138] prompt_11_v15.mp4: Anomaly (X)
  [P0 139] prompt_11_v16.mp4: Anomaly (X)
  [P0 140] prompt_11_v18.mp4: Anomaly (X)
  [P0 141] prompt_11_v20.mp4: Anomaly (X)
  [P0 142] prompt_2_v01.mp4: Anomaly (X)
  [P0 143] prompt_2_v05.mp4: Anomaly (X)
  [P0 144] prompt_2_v10.mp4: Anomaly (X)
  [P0 145] prompt_2_v11.mp4: Anomaly (X)
  [P0 146] prompt_2_v12.mp4: Anomaly (X)
  [P0 147] prompt_2_v14.mp4: Anomaly (X)
  [P0 148] prompt_2_v16.mp4: Normal (ok)
  [P0 149] prompt_2_v18.mp4: Anomaly (X)
  [P0 150] prompt_2_v20.mp4: Anomaly (X)
  [P0 151] prompt_4_v02.mp4: Anomaly (X)
  [P0 152] prompt_4_v03.mp4: Anomaly (X)
  [P0 153] prompt_4_v04.mp4: Anomaly (X)
  [P0 154] prompt_4_v05.mp4: Anomaly (X)
  [P0 155] prompt_4_v06.mp4: Anomaly (X)
  [P0 156] prompt_4_v07.mp4: Anomaly (X)
  [P0 157] prompt_4_v08.mp4: Anomaly (X)
  [P0 158] prompt_4_v10.mp4: Anomaly (X)
  [P0 159] prompt_4_v11.mp4: Anomaly (X)
  [P0 160] prompt_4_v13.mp4: Anomaly (X)
  [P0 161] prompt_4_v14.mp4: Anomaly (X)
  [P0 162] prompt_4_v15.mp4: Anomaly (X)
  [P0 163] prompt_4_v16.mp4: Anomaly (X)
  [P0 164] prompt_4_v17.mp4: Anomaly (X)
  [P0 165] prompt_4_v18.mp4: Anomaly (X)
  [P0 166] prompt_4_v19.mp4: Anomaly (X)
  [P0 167] prompt_4_v20.mp4: Anomaly (X)
  [P0 168] prompt_5_v01.mp4: Anomaly (X)
  [P0 169] prompt_5_v02.mp4: Anomaly (X)
  [P0 170] prompt_5_v03.mp4: Anomaly (X)
  [P0 171] prompt_5_v04.mp4: Normal (ok)
  [P0 172] prompt_5_v05.mp4: Anomaly (X)
  [P0 173] prompt_5_v06.mp4: Anomaly (X)
  [P0 174] prompt_5_v07.mp4: Normal (ok)
  [P0 175] prompt_5_v08.mp4: Anomaly (X)
  [P0 176] prompt_5_v10.mp4: Anomaly (X)
  [P0 177] prompt_5_v11.mp4: Anomaly (X)
  [P0 178] prompt_5_v14.mp4: Anomaly (X)
  [P0 179] prompt_5_v15.mp4: Anomaly (X)
  [P0 180] prompt_5_v16.mp4: Anomaly (X)
  [P0 181] prompt_5_v18.mp4: Anomaly (X)
  [P0 182] prompt_5_v19.mp4: Anomaly (X)
  [P0 183] prompt_5_v20.mp4: Anomaly (X)
  [P0 184] prompt_6_v02.mp4: Normal (ok)
  [P0 185] prompt_6_v03.mp4: Normal (ok)
  [P0 186] prompt_6_v04.mp4: Normal (ok)
  [P0 187] prompt_6_v05.mp4: Normal (ok)
  [P0 188] prompt_6_v06.mp4: Normal (ok)
  [P0 189] prompt_6_v07.mp4: Normal (ok)
  [P0 190] prompt_6_v08.mp4: Normal (ok)
  [P0 191] prompt_6_v10.mp4: Normal (ok)
  [P0 192] prompt_6_v11.mp4: Normal (ok)
  [P0 193] prompt_6_v12.mp4: Normal (ok)
  [P0 194] prompt_6_v13.mp4: Normal (ok)
  [P0 195] prompt_6_v14.mp4: Normal (ok)
  [P0 196] prompt_6_v15.mp4: Normal (ok)
  [P0 197] prompt_6_v16.mp4: Normal (ok)
  [P0 198] prompt_6_v18.mp4: Normal (ok)
  [P0 199] prompt_6_v19.mp4: Normal (ok)
  [P0 200] prompt_6_v20.mp4: Normal (ok)
  [P0 201] prompt_8_v01.mp4: Anomaly (X)
  [P0 202] prompt_8_v02.mp4: Anomaly (X)
  [P0 203] prompt_8_v03.mp4: Anomaly (X)
  [P0 204] prompt_8_v04.mp4: Anomaly (X)
  [P0 205] prompt_8_v06.mp4: Anomaly (X)
  [P0 206] prompt_8_v07.mp4: Anomaly (X)
  [P0 207] prompt_8_v08.mp4: Anomaly (X)
  [P0 208] prompt_8_v09.mp4: Anomaly (X)
  [P0 209] prompt_8_v11.mp4: Anomaly (X)
  [P0 210] prompt_8_v12.mp4: Anomaly (X)
  [P0 211] prompt_8_v13.mp4: Anomaly (X)
  [P0 212] prompt_8_v14.mp4: Anomaly (X)
  [P0 213] prompt_8_v15.mp4: Anomaly (X)
  [P0 214] prompt_8_v16.mp4: Anomaly (X)
  [P0 215] prompt_8_v17.mp4: Anomaly (X)
  [P0 216] prompt_8_v18.mp4: Anomaly (X)
  [P0 217] prompt_8_v19.mp4: Anomaly (X)
  [P0 218] prompt_8_v20.mp4: Anomaly (X)
  [P0 219] prompt_9_v01.mp4: Anomaly (X)
  [P0 220] prompt_9_v03.mp4: Anomaly (X)
  [P0 221] prompt_9_v04.mp4: Normal (ok)
  [P0 222] prompt_9_v05.mp4: Anomaly (X)
  [P0 223] prompt_9_v06.mp4: Anomaly (X)
  [P0 224] prompt_9_v07.mp4: Anomaly (X)
  [P0 225] prompt_9_v08.mp4: Anomaly (X)
  [P0 226] prompt_9_v09.mp4: Anomaly (X)
  [P0 227] prompt_9_v13.mp4: Anomaly (X)
  [P0 228] prompt_9_v14.mp4: Anomaly (X)
  [P0 229] prompt_9_v16.mp4: Anomaly (X)
  [P0 230] prompt_9_v17.mp4: Normal (ok)
  [P0 231] prompt_9_v20.mp4: Anomaly (X)
P0: 132/235
=== L2: P0 + depiction/necessity guard line (min delta) ===
  [L2 1] prompt_5.mp4: Normal (X)
  [L2 2] prompt_9.mp4: Normal (X)
  [L2 3] prompt_0_v02.mp4: Normal (X)
  [L2 4] prompt_0_v04.mp4: Normal (X)
  [L2 5] prompt_0_v01.mp4: Normal (X)
  [L2 6] prompt_0_v03.mp4: Normal (X)
  [L2 7] prompt_0_v05.mp4: Normal (X)
  [L2 8] prompt_0_v06.mp4: Normal (X)
  [L2 9] prompt_0_v07.mp4: Normal (X)
  [L2 10] prompt_0_v09.mp4: Normal (X)
  [L2 11] prompt_0_v10.mp4: Normal (X)
  [L2 12] prompt_0_v11.mp4: Normal (X)
  [L2 13] prompt_0_v12.mp4: Normal (X)
  [L2 14] prompt_0_v13.mp4: Normal (X)
  [L2 15] prompt_0_v14.mp4: Normal (X)
  [L2 16] prompt_0_v15.mp4: Normal (X)
  [L2 17] prompt_0_v16.mp4: Normal (X)
  [L2 18] prompt_0_v17.mp4: Anomaly (ok)
  [L2 19] prompt_0_v20.mp4: Normal (X)
  [L2 20] prompt_2_v01.mp4: Anomaly (ok)
  [L2 21] prompt_2_v02.mp4: Anomaly (ok)
  [L2 22] prompt_2_v03.mp4: Anomaly (ok)
  [L2 23] prompt_2_v04.mp4: Anomaly (ok)
  [L2 24] prompt_2_v05.mp4: Anomaly (ok)
  [L2 25] prompt_2_v06.mp4: Anomaly (ok)
  [L2 26] prompt_2_v07.mp4: Anomaly (ok)
  [L2 27] prompt_2_v08.mp4: Anomaly (ok)
  [L2 28] prompt_2_v10.mp4: Anomaly (ok)
  [L2 29] prompt_2_v11.mp4: Anomaly (ok)
  [L2 30] prompt_2_v12.mp4: Anomaly (ok)
  [L2 31] prompt_2_v13.mp4: Anomaly (ok)
  [L2 32] prompt_2_v14.mp4: Anomaly (ok)
  [L2 33] prompt_2_v15.mp4: Anomaly (ok)
  [L2 34] prompt_2_v16.mp4: Anomaly (ok)
  [L2 35] prompt_2_v17.mp4: Anomaly (ok)
  [L2 36] prompt_2_v19.mp4: Anomaly (ok)
  [L2 37] prompt_2_v20.mp4: Anomaly (ok)
  [L2 38] prompt_3_v02.mp4: Normal (X)
  [L2 39] prompt_3_v03.mp4: Normal (X)
  [L2 40] prompt_3_v05.mp4: Normal (X)
  [L2 41] prompt_3_v06.mp4: Normal (X)
  [L2 42] prompt_3_v07.mp4: Normal (X)
  [L2 43] prompt_3_v09.mp4: Normal (X)
  [L2 44] prompt_3_v11.mp4: Normal (X)
  [L2 45] prompt_3_v12.mp4: Normal (X)
  [L2 46] prompt_3_v13.mp4: Normal (X)
  [L2 47] prompt_3_v14.mp4: Normal (X)
  [L2 48] prompt_3_v15.mp4: Normal (X)
  [L2 49] prompt_3_v16.mp4: Normal (X)
  [L2 50] prompt_3_v17.mp4: Normal (X)
  [L2 51] prompt_3_v19.mp4: Normal (X)
  [L2 52] prompt_4_v01.mp4: Normal (X)
  [L2 53] prompt_4_v02.mp4: Normal (X)
  [L2 54] prompt_4_v03.mp4: Normal (X)
  [L2 55] prompt_4_v04.mp4: Normal (X)
  [L2 56] prompt_4_v05.mp4: Normal (X)
  [L2 57] prompt_4_v06.mp4: Normal (X)
  [L2 58] prompt_4_v07.mp4: Normal (X)
  [L2 59] prompt_4_v09.mp4: Anomaly (ok)
  [L2 60] prompt_4_v10.mp4: Anomaly (ok)
  [L2 61] prompt_4_v12.mp4: Normal (X)
  [L2 62] prompt_4_v13.mp4: Normal (X)
  [L2 63] prompt_4_v14.mp4: Normal (X)
  [L2 64] prompt_4_v15.mp4: Normal (X)
  [L2 65] prompt_4_v16.mp4: Normal (X)
  [L2 66] prompt_4_v17.mp4: Normal (X)
  [L2 67] prompt_4_v20.mp4: Normal (X)
  [L2 68] prompt_5_v01.mp4: Normal (X)
  [L2 69] prompt_5_v02.mp4: Normal (X)
  [L2 70] prompt_5_v03.mp4: Normal (X)
  [L2 71] prompt_5_v04.mp4: Normal (X)
  [L2 72] prompt_5_v05.mp4: Normal (X)
  [L2 73] prompt_5_v06.mp4: Anomaly (ok)
  [L2 74] prompt_5_v07.mp4: Normal (X)
  [L2 75] prompt_5_v09.mp4: Normal (X)
  [L2 76] prompt_5_v10.mp4: Normal (X)
  [L2 77] prompt_5_v12.mp4: Normal (X)
  [L2 78] prompt_5_v13.mp4: Normal (X)
  [L2 79] prompt_5_v14.mp4: Normal (X)
  [L2 80] prompt_5_v15.mp4: Normal (X)
  [L2 81] prompt_5_v16.mp4: Normal (X)
  [L2 82] prompt_5_v17.mp4: Normal (X)
  [L2 83] prompt_8_v02.mp4: Normal (X)
  [L2 84] prompt_8_v03.mp4: Anomaly (ok)
  [L2 85] prompt_8_v06.mp4: Anomaly (ok)
  [L2 86] prompt_8_v08.mp4: Anomaly (ok)
  [L2 87] prompt_8_v12.mp4: Anomaly (ok)
  [L2 88] prompt_8_v18.mp4: Anomaly (ok)
  [L2 89] prompt_8_v20.mp4: Anomaly (ok)
  [L2 90] prompt_9_v01.mp4: Anomaly (ok)
  [L2 91] prompt_9_v02.mp4: Anomaly (ok)
  [L2 92] prompt_9_v03.mp4: Anomaly (ok)
  [L2 93] prompt_9_v05.mp4: Anomaly (ok)
  [L2 94] prompt_9_v06.mp4: Normal (X)
  [L2 95] prompt_9_v07.mp4: Normal (X)
  [L2 96] prompt_9_v08.mp4: Anomaly (ok)
  [L2 97] prompt_9_v09.mp4: Anomaly (ok)
  [L2 98] prompt_9_v10.mp4: Normal (X)
  [L2 99] prompt_9_v11.mp4: Normal (X)
  [L2 100] prompt_9_v13.mp4: Normal (X)
  [L2 101] prompt_9_v14.mp4: Normal (X)
  [L2 102] prompt_9_v15.mp4: Normal (X)
  [L2 103] prompt_9_v17.mp4: Normal (X)
  [L2 104] prompt_9_v18.mp4: Anomaly (ok)
  [L2 105] prompt_9_v19.mp4: Normal (X)
  [L2 106] prompt_9_v20.mp4: Normal (X)
  [L2 107] prompt_0.mp4: Normal (ok)
  [L2 108] prompt_11.mp4: Normal (ok)
  [L2 109] prompt_4.mp4: Normal (ok)
  [L2 110] prompt_5.mp4: Normal (ok)
  [L2 111] prompt_6.mp4: Normal (ok)
  [L2 112] prompt_8.mp4: Normal (ok)
  [L2 113] prompt_0_v01.mp4: Normal (ok)
  [L2 114] prompt_0_v02.mp4: Normal (ok)
  [L2 115] prompt_0_v04.mp4: Normal (ok)
  [L2 116] prompt_0_v07.mp4: Normal (ok)
  [L2 117] prompt_0_v08.mp4: Normal (ok)
  [L2 118] prompt_0_v09.mp4: Normal (ok)
  [L2 119] prompt_0_v10.mp4: Normal (ok)
  [L2 120] prompt_0_v11.mp4: Normal (ok)
  [L2 121] prompt_0_v12.mp4: Normal (ok)
  [L2 122] prompt_0_v13.mp4: Normal (ok)
  [L2 123] prompt_0_v14.mp4: Normal (ok)
  [L2 124] prompt_0_v15.mp4: Normal (ok)
  [L2 125] prompt_0_v16.mp4: Normal (ok)
  [L2 126] prompt_0_v17.mp4: Normal (ok)
  [L2 127] prompt_0_v19.mp4: Normal (ok)
  [L2 128] prompt_0_v20.mp4: Normal (ok)
  [L2 129] prompt_11_v02.mp4: Normal (ok)
  [L2 130] prompt_11_v03.mp4: Normal (ok)
  [L2 131] prompt_11_v04.mp4: Normal (ok)
  [L2 132] prompt_11_v06.mp4: Normal (ok)
  [L2 133] prompt_11_v07.mp4: Normal (ok)
  [L2 134] prompt_11_v11.mp4: Normal (ok)
  [L2 135] prompt_11_v12.mp4: Anomaly (X)
  [L2 136] prompt_11_v13.mp4: Normal (ok)
  [L2 137] prompt_11_v14.mp4: Normal (ok)
  [L2 138] prompt_11_v15.mp4: Normal (ok)
  [L2 139] prompt_11_v16.mp4: Normal (ok)
  [L2 140] prompt_11_v18.mp4: Normal (ok)
  [L2 141] prompt_11_v20.mp4: Normal (ok)
  [L2 142] prompt_2_v01.mp4: Anomaly (X)
  [L2 143] prompt_2_v05.mp4: Anomaly (X)
  [L2 144] prompt_2_v10.mp4: Anomaly (X)
  [L2 145] prompt_2_v11.mp4: Anomaly (X)
  [L2 146] prompt_2_v12.mp4: Anomaly (X)
  [L2 147] prompt_2_v14.mp4: Normal (ok)
  [L2 148] prompt_2_v16.mp4: Normal (ok)
  [L2 149] prompt_2_v18.mp4: Anomaly (X)
  [L2 150] prompt_2_v20.mp4: Anomaly (X)
  [L2 151] prompt_4_v02.mp4: Normal (ok)
  [L2 152] prompt_4_v03.mp4: Normal (ok)
  [L2 153] prompt_4_v04.mp4: Normal (ok)
  [L2 154] prompt_4_v05.mp4: Normal (ok)
  [L2 155] prompt_4_v06.mp4: Normal (ok)
  [L2 156] prompt_4_v07.mp4: Normal (ok)
  [L2 157] prompt_4_v08.mp4: Normal (ok)
  [L2 158] prompt_4_v10.mp4: Normal (ok)
  [L2 159] prompt_4_v11.mp4: Normal (ok)
  [L2 160] prompt_4_v13.mp4: Normal (ok)
